id,estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa,descricao
2196,SC,4754703,759882,0,9,1,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2197,RO,4322301,894614,0,20,3,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2198,PB,4742300,512302,0,18,2,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2199,RS,4669999,439302,4,20,2,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2200,MS,3321000,915338,0,19,3,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2201,ES,4669999,141579,2,1,2,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2202,RJ,3511500,412926,3,20,3,XPTO123,
2203,PR,2731700,443088,2,8,2,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2204,RJ,4669999,938160,4,12,4,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2205,AM,4321500,96464,0,7,4,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2206,MS,4742300,224840,0,8,4,CABL951,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2207,RS,4322302,962481,2,8,4,XPTO123,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2208,MT,3321000,962814,0,17,4,CABL951,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2209,MT,4322302,996344,0,3,1,MEL789,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2210,DF,4321500,254150,0,20,2,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2211,RR,3321000,424059,4,15,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2212,RS,4742300,449038,2,2,3,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2213,TO,3329599,62039,1,17,4,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
2214,AL,4322303,646568,4,8,4,JJF753,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2215,RS,2821601,357685,3,4,1,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2216,PR,3511502,223167,0,3,3,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
2217,ES,2821602,981369,0,9,3,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2218,AC,4673700,380261,0,4,1,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2219,AL,3511500,420560,0,2,2,JJF753,
2220,MA,7112000,482306,0,6,1,MEL789,SERVIÇOS DE ENGENHARIA
2221,GO,4221902,91238,0,11,1,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2222,AC,4322302,313550,2,17,3,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2223,PA,4321500,762821,4,9,2,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2224,MG,3313901,523247,0,19,2,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2225,PB,3511500,810062,4,4,3,XPTO123,
2226,PR,2821601,822222,0,9,2,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2227,AP,4322302,425005,0,19,2,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2228,MA,3321000,897919,1,20,1,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2229,PE,4321500,183354,0,11,1,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2230,RJ,4321500,287029,1,16,2,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2231,MG,4673700,770034,0,16,2,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2232,PE,3511501,268459,0,19,1,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2233,MG,4754703,59841,0,10,1,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2234,AM,4669901,246386,2,14,3,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2235,RS,3511501,543487,2,6,1,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2236,PA,4322301,832078,0,4,3,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2237,GO,4322303,249574,2,8,4,FOO456,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2238,SE,4673700,653103,0,16,4,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2239,BA,4322302,874139,1,7,3,MEL789,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2240,ES,4322301,101187,3,10,2,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2241,PE,4669999,321403,0,10,1,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2242,ES,4742300,690496,0,20,1,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2243,MT,4322302,909402,4,11,4,XPTO123,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2244,SE,2731700,888277,3,15,2,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2245,CE,4322302,660849,0,1,3,XPTO123,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2246,SC,2821601,777103,3,9,4,CABL951,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2247,CE,3313901,227529,3,6,1,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2248,SC,4221903,742104,0,16,1,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2249,MT,2731700,783772,2,2,3,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2250,PI,4322303,937910,2,1,1,JJF753,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2251,PE,3313901,807954,0,18,1,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2252,AP,2821602,879562,4,19,3,JJF753,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2253,MT,3511501,626419,0,7,3,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2254,RN,4221902,260810,0,1,3,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2255,RN,3511501,233109,0,19,1,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
2256,SE,4669901,922668,4,7,2,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2257,BA,4322302,71272,0,17,4,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2258,MG,4221903,348991,1,13,2,MEL789,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2259,AP,4322302,354237,0,13,3,XPTO123,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2260,CE,4669901,589895,0,20,4,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2261,SE,4322301,224107,0,11,1,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2262,AC,4669901,698136,1,11,2,CABL951,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2263,AM,3511501,657680,0,1,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
2264,PA,4673700,290068,1,5,3,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2265,RO,3511500,842177,1,12,2,MEL789,
2266,GO,4669999,809775,0,4,1,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2267,AP,4669999,784686,0,9,2,MEL789,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2268,AC,3321000,996252,0,20,2,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2269,BA,4673700,721922,4,7,4,FOO456,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2270,PE,3511501,658186,3,9,1,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
2271,RO,4669901,204392,0,13,1,FOO456,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2272,SP,2821602,191285,0,8,2,JJF753,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2273,DF,4321500,885828,0,11,1,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2274,TO,4221903,840080,0,19,3,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2275,PE,3321000,769699,0,13,1,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2276,MT,4321500,538836,1,16,3,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2277,PB,4322302,361572,0,14,3,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2278,MA,3511500,50333,0,5,2,CABL951,
2279,PI,4322301,244091,0,5,4,XPTO123,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2280,RN,4221903,268372,0,17,1,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2281,BA,4742300,420804,3,3,4,XPTO123,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2282,GO,4669999,67067,0,19,2,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2283,DF,2731700,43217,0,6,2,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2284,RR,2731700,31310,0,10,2,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2285,PE,2821602,919777,0,4,1,JJF753,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2286,MS,4321500,64147,0,21,3,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2287,RN,3511501,771935,0,19,3,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2288,RN,4673700,153356,0,16,4,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2289,BA,3313901,757884,0,1,3,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2290,RO,2821601,264937,0,6,1,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2291,RS,4673700,187531,0,8,3,MEL789,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2292,PA,4221902,381990,1,14,3,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2293,MS,2821601,798105,0,2,3,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2294,CE,4754703,58948,1,16,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2295,PE,4321500,881974,4,21,2,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2296,DF,7112000,981779,0,15,2,CABL951,SERVIÇOS DE ENGENHARIA
2297,MS,3321000,701031,4,17,2,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2298,MS,4669901,997483,1,7,1,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2299,SP,4673700,816411,0,21,3,FOO456,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2300,RO,4742300,507007,0,4,2,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2301,AC,2731700,43657,1,6,1,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2302,BA,3511501,579328,1,17,4,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
2303,TO,4321500,639618,0,9,3,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2304,MG,4322303,998720,1,18,4,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2305,TO,4322301,24176,0,4,1,CABL951,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2306,MT,4321500,253027,1,19,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2307,AM,4669901,733972,0,6,1,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2308,MG,4221903,768991,0,3,4,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2309,PE,4742300,217528,2,6,3,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2310,PR,4321500,193977,0,4,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2311,CE,3313901,322612,0,21,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2312,SE,2731700,760026,2,10,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2313,MG,4221903,54687,0,9,3,MEL789,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2314,ES,4221903,863043,2,19,3,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2315,RR,2821602,591460,1,13,3,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2316,ES,3313901,925036,0,2,4,XPTO123,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2317,PB,4669901,605349,0,4,3,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2318,AL,3321000,417150,3,19,3,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2319,BA,4321500,335673,0,19,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2320,RS,4322301,450532,0,17,4,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
2321,PB,4322303,469300,0,8,3,FOO456,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2322,PE,2731700,49247,1,7,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2323,SE,3511501,511851,0,7,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
2324,MG,4754703,324814,4,18,1,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2325,AL,2731700,141701,4,12,3,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2326,AP,3321000,323793,0,9,4,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2327,PA,3511501,619447,0,7,4,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2328,RN,4221903,800476,4,15,4,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2329,DF,4673700,66039,1,20,4,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2330,MT,7112000,102940,3,6,2,FOO456,SERVIÇOS DE ENGENHARIA
2331,RR,2821602,47003,0,16,3,CABL951,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2332,MS,4322302,908515,4,19,3,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2333,MT,3511501,262553,0,16,3,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
2334,RS,2821602,993687,4,20,2,MEL789,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2335,RJ,3511502,112962,0,9,4,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
2336,RR,4322302,833112,2,1,3,FOO456,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2337,RS,3313901,791807,0,7,4,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2338,AP,4322302,980700,2,14,4,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
2339,AL,4322303,976804,0,7,1,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2340,AM,3511500,617222,1,3,2,XPTO123,
2341,AC,3511500,747896,1,1,3,FOO456,
2342,ES,4321500,423491,2,15,4,FOO456,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2343,SE,3511502,824742,0,8,4,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
2344,PI,4754703,856186,0,13,1,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2345,SP,4221903,782568,2,18,4,XPTO123,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2346,RN,4221902,557706,0,3,1,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2347,PB,3313901,613230,0,15,3,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2348,RS,3321000,667105,0,6,3,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2349,ES,3511500,874627,0,4,1,MEL789,
2350,SE,4221903,866968,3,16,1,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2351,PI,2821601,129657,3,4,4,FOO456,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2352,RR,3313901,734785,0,18,3,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2353,TO,4742300,616150,0,7,1,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
2354,PE,2731700,180475,0,21,3,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2355,MA,4322303,222694,3,18,4,MEL789,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2356,PA,7112000,430698,4,5,4,CABL951,SERVIÇOS DE ENGENHARIA
2357,TO,3511500,842265,0,18,4,JJF753,
2358,MS,4669999,437526,0,7,3,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2359,PR,2821601,295940,0,11,1,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
2360,PA,4754703,409842,0,9,3,XPTO123,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2361,MA,3313901,283033,3,12,1,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2362,RJ,3511502,525450,4,2,3,JJF753,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
2363,PE,4754703,768914,0,18,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
2364,ES,4321500,388322,3,17,1,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2365,CE,4669901,971299,0,2,3,MEL789,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
2366,SE,4669999,460431,0,3,3,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2367,MG,2731700,702772,0,6,1,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2368,RN,3313901,828523,2,18,2,JJF753,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2369,SE,4321500,302909,0,8,2,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2370,PB,4669999,946614,0,17,3,MEL789,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2371,AP,4321500,520967,0,17,4,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
2372,PI,3511500,938299,0,14,3,MEL789,
2373,MT,3511501,174168,0,2,3,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
2374,RJ,2821602,711069,0,5,4,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
2375,TO,3329599,767394,2,14,2,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
2376,RN,4322303,530211,1,19,1,MEL789,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
2377,AL,3321000,739411,2,21,4,CABL951,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
2378,RN,4669999,727109,0,2,2,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
2379,AP,7112000,516545,0,10,2,JJF753,SERVIÇOS DE ENGENHARIA
2380,RO,4673700,224878,0,9,3,CABL951,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
2381,DF,4221902,419077,3,2,4,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2382,BA,3313901,627688,0,11,3,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
2383,MA,2731700,741845,0,4,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
2384,RS,3511501,19527,0,5,2,JJF753,GERAÇÃO DE ENERGIA ELÉTRICA
2385,PA,3511501,924706,4,2,1,JJF753,GERAÇÃO DE ENERGIA ELÉTRICA
2386,RS,4221903,643665,0,12,3,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
2387,MA,3511501,543241,0,19,2,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
