id;estado_empresa;cnae_empresa;capital_empresa;processos_judiciais_empresa;idade_empresa;socios_empresa;fornecedor_empresa
2140;PR;4742300;796458;0;6;3;JJF753
2141;RO;4322301;840763;0;15;4;CABL951
2142;AC;3329599;111718;3;4;1;FOO456
2143;RR;3511502;444012;0;9;3;XPTO123
2144;TO;3511500;761643;3;9;3;FOO456
2145;MS;3329599;484182;0;20;4;MEL789
2146;TO;4321500;87031;0;10;1;CABL951
2147;RO;4754703;986844;0;16;2;FOO456
2148;AL;4322302;223832;0;9;2;CABL951
2149;AC;3329599;515006;0;21;1;CABL951
2150;AM;4322301;328853;0;5;2;XPTO123
2151;AM;4322302;227006;0;13;1;XPTO123
2152;DF;2821602;411299;2;12;2;FOO456
2153;RO;4669999;317269;3;1;4;XPTO123
2154;SC;3511500;25850;4;10;2;MEL789
2155;MT;3329599;27625;0;6;3;XPTO123
2156;BA;2821602;372719;4;15;1;MEL789
2157;PA;4322301;245885;0;20;1;JJF753
2158;RS;4322303;469333;3;9;3;MEL789
2159;MT;4322303;140310;1;14;4;CABL951
2160;AP;2821601;379274;3;2;1;XPTO123
2161;MT;4322301;222867;0;17;2;CABL951
2162;RJ;4742300;21554;1;5;3;FOO456
2163;MG;3511500;18831;4;10;2;FOO456
2164;SP;3511501;85509;2;8;2;MEL789
2165;PB;4322303;902649;0;16;3;FOO456
2166;GO;3321000;505376;0;6;4;MEL789
2167;MS;4669999;388813;0;4;1;CABL951
2168;SE;4322303;156632;0;4;2;MEL789
2169;PB;4673700;122978;3;18;1;MEL789
2170;AM;4322302;859826;2;1;4;FOO456
2171;AP;3511501;201389;3;12;2;MEL789
2172;TO;2821602;648999;0;17;3;FOO456
2173;MT;4742300;693851;0;5;3;MEL789
2174;AM;7112000;832787;2;10;4;FOO456
2175;PE;2731700;703786;0;11;3;XPTO123
2176;MS;2821602;740288;0;2;1;XPTO123
2177;SP;2731700;142479;0;7;1;CABL951
2178;RO;3511501;948635;0;17;4;FOO456
2179;PR;7112000;518514;0;6;3;FOO456
2180;RS;4321500;768808;4;18;3;MEL789
2181;MA;4322301;281045;0;8;1;CABL951
2182;AP;2731700;67828;0;2;3;MEL789
2183;CE;3511501;821969;0;19;2;FOO456
2184;SC;4221903;201874;4;10;1;CABL951
2185;RS;3511501;656090;0;8;4;CABL951
2186;TO;4321500;193380;2;16;2;JJF753
2187;TO;4221903;825998;0;4;2;CABL951
2188;CE;4322302;710793;0;9;1;XPTO123
2189;PR;3511502;417467;0;8;4;JJF753
2190;TO;4673700;266443;3;13;2;MEL789
2191;TO;2821601;552138;0;11;2;MEL789
2192;AP;2731700;607167;3;15;4;MEL789
2193;AL;4742300;473298;3;3;4;JJF753
2194;PB;4221903;532770;2;6;4;XPTO123
2195;GO;4322302;993756;0;11;2;JJF753
2196;SC;4754703;759882;0;9;1;JJF753
2197;RO;4322301;894614;0;20;3;FOO456
2198;PB;4742300;512302;0;18;2;FOO456
2199;RS;4669999;439302;4;20;2;CABL951
2200;MS;3321000;915338;0;19;3;XPTO123
2201;ES;4669999;141579;2;1;2;CABL951
2202;RJ;3511500;412926;3;20;3;XPTO123
2203;PR;2731700;443088;2;8;2;MEL789
2204;RJ;4669999;938160;4;12;4;CABL951
2205;AM;4321500;96464;0;7;4;JJF753
2206;MS;4742300;224840;0;8;4;CABL951
2207;RS;4322302;962481;2;8;4;XPTO123
2208;MT;3321000;962814;0;17;4;CABL951
2209;MT;4322302;996344;0;3;1;MEL789
2210;DF;4321500;254150;0;20;2;CABL951
2211;RR;3321000;424059;4;15;1;XPTO123
2212;RS;4742300;449038;2;2;3;FOO456
2213;TO;3329599;62039;1;17;4;XPTO123
2214;AL;4322303;646568;4;8;4;JJF753
2215;RS;2821601;357685;3;4;1;MEL789
2216;PR;3511502;223167;0;3;3;MEL789
2217;ES;2821602;981369;0;9;3;FOO456
2218;AC;4673700;380261;0;4;1;MEL789
2219;AL;3511500;420560;0;2;2;JJF753
2220;MA;7112000;482306;0;6;1;MEL789
2221;GO;4221902;91238;0;11;1;CABL951
2222;AC;4322302;313550;2;17;3;CABL951
2223;PA;4321500;762821;4;9;2;XPTO123
2224;MG;3313901;523247;0;19;2;MEL789
2225;PB;3511500;810062;4;4;3;XPTO123
2226;PR;2821601;822222;0;9;2;JJF753
2227;AP;4322302;425005;0;19;2;CABL951
2228;MA;3321000;897919;1;20;1;MEL789
2229;PE;4321500;183354;0;11;1;CABL951
2230;RJ;4321500;287029;1;16;2;XPTO123
2231;MG;4673700;770034;0;16;2;JJF753
2232;PE;3511501;268459;0;19;1;XPTO123
2233;MG;4754703;59841;0;10;1;JJF753
2234;AM;4669901;246386;2;14;3;CABL951
2235;RS;3511501;543487;2;6;1;XPTO123
2236;PA;4322301;832078;0;4;3;FOO456
2237;GO;4322303;249574;2;8;4;FOO456
2238;SE;4673700;653103;0;16;4;JJF753
2239;BA;4322302;874139;1;7;3;MEL789
2240;ES;4322301;101187;3;10;2;XPTO123
2241;PE;4669999;321403;0;10;1;XPTO123
2242;ES;4742300;690496;0;20;1;MEL789
2243;MT;4322302;909402;4;11;4;XPTO123
2244;SE;2731700;888277;3;15;2;JJF753
2245;CE;4322302;660849;0;1;3;XPTO123
2246;SC;2821601;777103;3;9;4;CABL951
2247;CE;3313901;227529;3;6;1;FOO456
2248;SC;4221903;742104;0;16;1;CABL951
2249;MT;2731700;783772;2;2;3;MEL789
2250;PI;4322303;937910;2;1;1;JJF753
2251;PE;3313901;807954;0;18;1;FOO456
2252;AP;2821602;879562;4;19;3;JJF753
2253;MT;3511501;626419;0;7;3;XPTO123
2254;RN;4221902;260810;0;1;3;FOO456
2255;RN;3511501;233109;0;19;1;MEL789
2256;SE;4669901;922668;4;7;2;XPTO123
2257;BA;4322302;71272;0;17;4;JJF753
2258;MG;4221903;348991;1;13;2;MEL789
2259;AP;4322302;354237;0;13;3;XPTO123
2260;CE;4669901;589895;0;20;4;CABL951
2261;SE;4322301;224107;0;11;1;XPTO123
2262;AC;4669901;698136;1;11;2;CABL951
2263;AM;3511501;657680;0;1;2;MEL789
2264;PA;4673700;290068;1;5;3;MEL789
2265;RO;3511500;842177;1;12;2;MEL789
2266;GO;4669999;809775;0;4;1;XPTO123
2267;AP;4669999;784686;0;9;2;MEL789
2268;AC;3321000;996252;0;20;2;XPTO123
2269;BA;4673700;721922;4;7;4;FOO456
2270;PE;3511501;658186;3;9;1;FOO456
2271;RO;4669901;204392;0;13;1;FOO456
2272;SP;2821602;191285;0;8;2;JJF753
2273;DF;4321500;885828;0;11;1;FOO456
2274;TO;4221903;840080;0;19;3;FOO456
2275;PE;3321000;769699;0;13;1;FOO456
2276;MT;4321500;538836;1;16;3;JJF753
2277;PB;4322302;361572;0;14;3;JJF753
2278;MA;3511500;50333;0;5;2;CABL951
2279;PI;4322301;244091;0;5;4;XPTO123
2280;RN;4221903;268372;0;17;1;FOO456
2281;BA;4742300;420804;3;3;4;XPTO123
2282;GO;4669999;67067;0;19;2;XPTO123
2283;DF;2731700;43217;0;6;2;MEL789
2284;RR;2731700;31310;0;10;2;MEL789
2285;PE;2821602;919777;0;4;1;JJF753
2286;MS;4321500;64147;0;21;3;JJF753
2287;RN;3511501;771935;0;19;3;XPTO123
2288;RN;4673700;153356;0;16;4;JJF753
2289;BA;3313901;757884;0;1;3;MEL789
2290;RO;2821601;264937;0;6;1;XPTO123
2291;RS;4673700;187531;0;8;3;MEL789
2292;PA;4221902;381990;1;14;3;FOO456
2293;MS;2821601;798105;0;2;3;MEL789
2294;CE;4754703;58948;1;16;2;CABL951
2295;PE;4321500;881974;4;21;2;JJF753
2296;DF;7112000;981779;0;15;2;CABL951
2297;MS;3321000;701031;4;17;2;XPTO123
2298;MS;4669901;997483;1;7;1;XPTO123
2299;SP;4673700;816411;0;21;3;FOO456
2300;RO;4742300;507007;0;4;2;JJF753
2301;AC;2731700;43657;1;6;1;FOO456
2302;BA;3511501;579328;1;17;4;FOO456
2303;TO;4321500;639618;0;9;3;JJF753
2304;MG;4322303;998720;1;18;4;CABL951
2305;TO;4322301;24176;0;4;1;CABL951
2306;MT;4321500;253027;1;19;1;JJF753
2307;AM;4669901;733972;0;6;1;XPTO123
2308;MG;4221903;768991;0;3;4;CABL951
2309;PE;4742300;217528;2;6;3;JJF753
2310;PR;4321500;193977;0;4;3;MEL789
2311;CE;3313901;322612;0;21;4;CABL951
2312;SE;2731700;760026;2;10;4;MEL789
2313;MG;4221903;54687;0;9;3;MEL789
2314;ES;4221903;863043;2;19;3;FOO456
2315;RR;2821602;591460;1;13;3;XPTO123
2316;ES;3313901;925036;0;2;4;XPTO123
2317;PB;4669901;605349;0;4;3;XPTO123
2318;AL;3321000;417150;3;19;3;FOO456
2319;BA;4321500;335673;0;19;1;JJF753
2320;RS;4322301;450532;0;17;4;JJF753
2321;PB;4322303;469300;0;8;3;FOO456
2322;PE;2731700;49247;1;7;4;MEL789
2323;SE;3511501;511851;0;7;2;MEL789
2324;MG;4754703;324814;4;18;1;FOO456
2325;AL;2731700;141701;4;12;3;MEL789
2326;AP;3321000;323793;0;9;4;JJF753
2327;PA;3511501;619447;0;7;4;XPTO123
2328;RN;4221903;800476;4;15;4;JJF753
2329;DF;4673700;66039;1;20;4;JJF753
2330;MT;7112000;102940;3;6;2;FOO456
2331;RR;2821602;47003;0;16;3;CABL951
2332;MS;4322302;908515;4;19;3;JJF753
2333;MT;3511501;262553;0;16;3;CABL951
2334;RS;2821602;993687;4;20;2;MEL789
2335;RJ;3511502;112962;0;9;4;MEL789
2336;RR;4322302;833112;2;1;3;FOO456
2337;RS;3313901;791807;0;7;4;MEL789
2338;AP;4322302;980700;2;14;4;CABL951
2339;AL;4322303;976804;0;7;1;XPTO123
2340;AM;3511500;617222;1;3;2;XPTO123
2341;AC;3511500;747896;1;1;3;FOO456
2342;ES;4321500;423491;2;15;4;FOO456
2343;SE;3511502;824742;0;8;4;MEL789
2344;PI;4754703;856186;0;13;1;JJF753
2345;SP;4221903;782568;2;18;4;XPTO123
2346;RN;4221902;557706;0;3;1;MEL789
2347;PB;3313901;613230;0;15;3;CABL951
2348;RS;3321000;667105;0;6;3;MEL789
2349;ES;3511500;874627;0;4;1;MEL789
2350;SE;4221903;866968;3;16;1;JJF753
2351;PI;2821601;129657;3;4;4;FOO456
2352;RR;3313901;734785;0;18;3;CABL951
2353;TO;4742300;616150;0;7;1;MEL789
2354;PE;2731700;180475;0;21;3;CABL951
2355;MA;4322303;222694;3;18;4;MEL789
2356;PA;7112000;430698;4;5;4;CABL951
2357;TO;3511500;842265;0;18;4;JJF753
2358;MS;4669999;437526;0;7;3;XPTO123
2359;PR;2821601;295940;0;11;1;JJF753
2360;PA;4754703;409842;0;9;3;XPTO123
2361;MA;3313901;283033;3;12;1;MEL789
2362;RJ;3511502;525450;4;2;3;JJF753
2363;PE;4754703;768914;0;18;2;CABL951
2364;ES;4321500;388322;3;17;1;MEL789
2365;CE;4669901;971299;0;2;3;MEL789
2366;SE;4669999;460431;0;3;3;XPTO123
2367;MG;2731700;702772;0;6;1;JJF753
2368;RN;3313901;828523;2;18;2;JJF753
2369;SE;4321500;302909;0;8;2;MEL789
2370;PB;4669999;946614;0;17;3;MEL789
2371;AP;4321500;520967;0;17;4;MEL789
2372;PI;3511500;938299;0;14;3;MEL789
2373;MT;3511501;174168;0;2;3;XPTO123
2374;RJ;2821602;711069;0;5;4;FOO456
2375;TO;3329599;767394;2;14;2;XPTO123
2376;RN;4322303;530211;1;19;1;MEL789
2377;AL;3321000;739411;2;21;4;CABL951
2378;RN;4669999;727109;0;2;2;XPTO123
2379;AP;7112000;516545;0;10;2;JJF753
2380;RO;4673700;224878;0;9;3;CABL951
2381;DF;4221902;419077;3;2;4;FOO456
2382;BA;3313901;627688;0;11;3;MEL789
2383;MA;2731700;741845;0;4;4;MEL789
2384;RS;3511501;19527;0;5;2;JJF753
2385;PA;3511501;924706;4;2;1;JJF753
2386;RS;4221903;643665;0;12;3;JJF753
2387;MA;3511501;543241;0;19;2;FOO456
2388;RR;4754703;928783;0;16;1;FOO456
2389;RN;4321500;250139;0;8;3;FOO456
2390;BA;4669901;665235;1;10;4;JJF753
2391;RJ;4322301;215209;1;11;2;XPTO123
2392;BA;3511501;356754;0;18;2;CABL951
2393;MT;3329599;44808;0;9;4;FOO456
2394;TO;4321500;427807;0;12;1;JJF753
2395;PE;4669999;669081;2;6;1;JJF753
2396;CE;3511500;193294;1;9;1;CABL951
2397;AP;2821601;483605;0;14;1;FOO456
2398;RO;4669999;46232;0;6;4;XPTO123
2399;PR;4221902;282763;0;4;1;XPTO123
2400;MS;3511501;762029;0;8;4;JJF753
2401;PA;2821602;630883;0;1;2;FOO456
2402;AM;3511500;948828;0;17;2;JJF753
2403;PR;3511500;727724;0;3;2;XPTO123
2404;AL;4669999;531482;0;3;1;XPTO123
2405;ES;7112000;72042;0;16;3;XPTO123
2406;RR;7112000;927489;0;4;2;MEL789
2407;PB;4221902;214934;0;10;1;MEL789
2408;TO;4754703;699306;0;10;3;JJF753
2409;PE;3313901;38457;0;17;1;FOO456
2410;PA;4322301;828151;0;1;1;XPTO123
2411;AP;2821601;552864;3;16;1;FOO456
2412;PR;3511501;374873;4;14;4;XPTO123
2413;PI;4669999;878185;0;18;1;MEL789
2414;MT;4669901;904976;4;15;4;CABL951
2415;SP;2821601;717184;0;11;3;MEL789
2416;ES;3511501;528004;2;9;4;MEL789
2417;PR;3313901;296787;0;12;4;MEL789
2418;PI;4754703;162407;0;6;4;JJF753
2419;AC;7112000;121515;0;15;1;FOO456
2420;ES;4322301;334704;0;11;3;CABL951
2421;ES;4754703;494291;0;7;4;CABL951
2422;SC;3321000;399827;0;1;1;MEL789
2423;ES;4673700;951877;1;1;1;JJF753
2424;RN;4669999;367889;0;18;3;JJF753
2425;RS;3329599;427292;2;14;1;CABL951
2426;AM;3321000;19747;0;8;3;JJF753
2427;MG;3313901;881696;3;18;2;MEL789
2428;MA;2731700;121710;3;7;2;JJF753
2429;AL;4669901;851587;0;18;4;MEL789
2430;SP;3313901;405751;3;15;4;MEL789
2431;MG;2821602;215802;0;21;1;MEL789
2432;SE;3321000;671167;0;1;1;JJF753
2433;ES;4669901;586043;2;13;4;XPTO123
2434;MA;4754703;493774;4;17;1;JJF753
2435;BA;4322302;834573;0;12;1;FOO456
2436;PA;2821602;202502;0;14;1;JJF753
2437;PI;3511502;565481;0;15;4;MEL789
2438;PI;4322301;166875;0;9;2;MEL789
2439;CE;4754703;118726;2;4;3;FOO456
2440;PB;7112000;905678;0;4;1;XPTO123
2441;RJ;4669901;412014;0;21;4;FOO456
2442;PR;4754703;79870;0;12;2;MEL789
2443;ES;4322302;744527;4;11;1;CABL951
2444;MS;4321500;916487;0;2;4;XPTO123
2445;AP;4321500;71931;0;12;3;XPTO123
2446;GO;4321500;347667;0;7;4;JJF753
2447;BA;3511500;552803;4;8;3;MEL789
2448;SC;4322302;278270;0;2;3;XPTO123
2449;SC;7112000;775761;0;19;1;MEL789
2450;PA;4321500;18555;1;16;3;JJF753
2451;AM;4221902;999786;1;21;4;XPTO123
2452;AP;3511501;264919;0;14;2;JJF753
2453;TO;4673700;36076;1;4;1;XPTO123
2454;RO;3329599;562184;3;13;1;JJF753
2455;PA;2821602;482971;0;2;4;FOO456
2456;MG;4673700;345967;0;15;1;FOO456
2457;ES;4669901;560430;2;12;2;JJF753
2458;AP;4321500;931678;0;21;2;MEL789
2459;MG;4669999;154354;0;15;2;XPTO123
2460;GO;3329599;730378;1;17;4;MEL789
2461;PE;2821602;432335;3;10;2;XPTO123
2462;PB;4754703;522239;0;11;1;MEL789
2463;MT;2821602;808879;4;19;2;JJF753
2464;RN;4221903;286199;0;8;4;MEL789
2465;GO;2731700;564235;0;19;4;JJF753
2466;PB;3511502;918762;0;9;2;FOO456
2467;MG;3511500;89203;0;1;1;JJF753
2468;MA;4221902;450240;1;12;2;JJF753
2469;MA;2821602;284973;0;20;1;CABL951
2470;SC;3511502;224718;0;11;2;CABL951
2471;PB;4754703;582249;0;15;1;MEL789
2472;MA;3313901;990327;0;21;2;XPTO123
2473;PI;4742300;973865;3;18;2;CABL951
2474;RN;2731700;708154;0;3;3;FOO456
2475;SE;3313901;897958;2;17;4;CABL951
2476;RJ;7112000;523578;0;13;2;JJF753
2477;SP;4669999;902965;2;20;4;FOO456
2478;AL;4221903;425527;0;21;4;MEL789
2479;GO;4221903;767338;4;5;3;FOO456
2480;RR;2731700;703177;4;2;1;FOO456
2481;SE;4221902;289175;0;12;1;XPTO123
2482;AC;4754703;651970;0;20;1;FOO456
2483;TO;4322301;873399;0;9;2;XPTO123
2484;PR;3329599;694580;0;1;3;JJF753
2485;GO;3329599;801045;0;5;1;FOO456
2486;PA;2821602;184430;0;18;1;JJF753
2487;MT;4669901;234109;0;16;3;XPTO123
2488;PE;4321500;443493;0;18;2;FOO456
2489;RS;4321500;280435;3;5;4;MEL789
2490;AM;4673700;306340;0;9;3;FOO456
2491;BA;4673700;481708;0;19;2;CABL951
2492;GO;4673700;829468;0;13;1;XPTO123
2493;SC;4322301;831200;4;1;3;JJF753
2494;ES;3313901;557070;0;16;4;FOO456
2495;AC;4221903;824296;0;7;3;JJF753
2496;SE;3511502;23996;0;18;3;FOO456
2497;RJ;3511500;544268;0;16;3;MEL789
2498;AL;4321500;750932;2;2;3;FOO456
2499;PB;3511501;675495;0;14;4;FOO456
2500;PR;4221903;47018;0;2;2;MEL789
2501;MA;3313901;665905;3;2;3;CABL951
2502;TO;2731700;793820;0;20;4;FOO456
2503;AP;4221902;642915;0;1;3;JJF753
2504;DF;4754703;592041;2;16;2;XPTO123
2505;RO;2821602;601866;0;1;3;JJF753
2506;PR;3511501;147929;0;4;2;XPTO123
2507;SC;2821601;769247;1;2;3;MEL789
2508;PB;4673700;194618;0;21;3;MEL789
2509;ES;4669901;966305;4;16;3;CABL951
2510;MG;4321500;996727;0;4;4;FOO456
2511;AP;4673700;860882;2;14;1;CABL951
2512;PB;3511501;611884;0;18;1;XPTO123
2513;PR;4221903;248383;4;5;3;FOO456
2514;MG;4322302;135777;2;16;3;FOO456
2515;SE;2731700;76224;0;1;1;CABL951
2516;RO;4322302;876585;0;9;1;JJF753
2517;RN;4221902;766058;0;1;3;CABL951
2518;SC;3329599;946403;0;4;4;MEL789
2519;DF;4321500;738953;0;12;2;FOO456
2520;SP;4221902;746541;0;19;3;JJF753
2521;DF;2731700;363339;3;21;1;FOO456
2522;RS;7112000;250088;0;5;4;JJF753
2523;GO;4322303;855193;1;13;4;XPTO123
2524;RN;3321000;163360;2;19;3;FOO456
2525;CE;3511501;58124;0;3;2;CABL951
2526;AL;3321000;479004;0;9;2;XPTO123
2527;ES;4673700;81202;1;14;3;JJF753
2528;PI;2821602;667273;2;4;2;FOO456
2529;PI;4322303;236016;1;13;1;JJF753
2530;AL;4742300;474597;0;6;3;CABL951
2531;RR;4321500;515712;0;18;4;MEL789
2532;CE;4321500;695145;0;15;3;MEL789
2533;RN;3329599;663014;0;7;4;JJF753
2534;MS;4322302;921958;1;19;2;MEL789
2535;MT;4322301;551598;0;19;2;FOO456
2536;AM;3511501;526019;4;7;3;FOO456
2537;AC;3321000;185344;0;18;2;CABL951
2538;RR;4221902;253729;0;18;4;JJF753
2539;SE;4669999;780738;3;10;4;MEL789
2540;PB;2821602;86221;0;20;1;MEL789
2541;CE;4321500;748551;0;2;3;XPTO123
2542;RS;2821602;29892;3;20;3;FOO456
2543;PE;4321500;281813;1;4;3;MEL789
2544;SE;2731700;895982;0;17;1;XPTO123
2545;GO;3511502;363762;0;19;2;XPTO123
2546;MS;3511501;135787;0;12;3;JJF753
2547;AC;3321000;346861;0;11;1;CABL951
2548;RR;4742300;256297;0;20;3;XPTO123
2549;PR;4221903;749402;0;20;1;MEL789
2550;AP;2731700;718102;0;17;2;CABL951
2551;PE;2821602;761184;4;3;3;XPTO123
2552;RO;3511501;902537;0;9;1;JJF753
2553;BA;2731700;146972;0;16;1;XPTO123
2554;AP;3511501;704858;3;14;1;XPTO123
2555;PB;4669999;81748;0;16;4;XPTO123
2556;SE;4669999;446306;0;13;4;JJF753
2557;SE;4321500;612654;3;21;3;XPTO123
2558;MT;2731700;811130;2;20;1;JJF753
2559;AP;4321500;508878;4;21;4;XPTO123
2560;SC;3511500;679405;0;15;3;CABL951
2561;ES;3313901;542635;0;9;3;CABL951
2562;RS;2821601;802125;0;9;4;FOO456
2563;CE;4754703;631951;2;6;1;MEL789
2564;GO;4321500;399997;0;18;2;MEL789
2565;SP;3321000;827055;0;2;4;XPTO123
2566;AC;4742300;646668;0;12;3;CABL951
2567;PB;4322303;495557;2;10;2;XPTO123
2568;GO;4669999;934613;3;10;1;FOO456
2569;PE;3313901;400575;4;13;2;CABL951
2570;GO;4322303;46088;0;13;3;XPTO123
2571;RR;3321000;490432;1;18;2;CABL951
2572;AM;2821602;669907;1;21;1;CABL951
2573;AP;3329599;229111;4;14;4;FOO456
2574;PE;3329599;247393;0;8;3;MEL789
2575;RO;4673700;658175;0;7;2;FOO456
2576;SE;4322301;72243;4;14;2;XPTO123
2577;TO;4742300;936126;0;11;2;FOO456
2578;PB;4669901;330472;0;4;4;CABL951
2579;RO;2821601;143939;0;4;1;MEL789
2580;SE;2731700;100659;0;16;3;MEL789
2581;PR;2821601;790471;1;4;1;MEL789
2582;CE;4221903;939247;0;13;2;CABL951
2583;SE;4742300;81116;0;11;2;JJF753
2584;AC;4669999;630991;0;13;4;JJF753
2585;SP;2731700;221031;3;1;2;CABL951
2586;PI;4221903;199126;0;11;3;XPTO123
2587;RO;3511500;607145;0;6;1;CABL951
2588;MT;4321500;379511;4;21;3;CABL951
2589;PI;4322303;629086;0;6;2;FOO456
2590;SP;2821601;888146;0;5;4;XPTO123
2591;SC;7112000;84983;0;12;3;FOO456
2592;SE;4322303;863316;0;4;3;JJF753
2593;AL;4221903;50400;4;19;4;JJF753
2594;MG;2731700;602475;0;7;4;FOO456
2595;AM;2821601;50715;0;21;2;FOO456
2596;AM;2821602;60833;4;13;3;MEL789
2597;ES;4669901;264106;0;15;4;MEL789
2598;PE;2821601;631297;0;14;4;CABL951
2599;AP;4754703;726861;0;17;3;FOO456
2600;MS;4321500;959003;0;15;1;XPTO123
2601;RR;3313901;802863;0;18;3;FOO456
2602;AC;4321500;69244;3;8;4;FOO456
2603;AM;4221902;997847;3;8;3;MEL789
2604;SE;4221903;429266;3;16;1;XPTO123
2605;SP;4221903;234860;0;11;3;JJF753
2606;RS;4322303;400203;0;8;3;FOO456
2607;RS;7112000;531558;3;21;1;CABL951
2608;MT;4669901;690129;0;7;1;JJF753
2609;TO;2731700;65918;0;8;4;XPTO123
2610;SP;4669901;777356;0;18;1;JJF753
2611;PA;3511501;314496;3;21;2;MEL789
2612;MS;3511501;390193;4;11;3;FOO456
2613;GO;2821601;602185;1;13;4;JJF753
2614;GO;4669901;412784;1;9;3;JJF753
2615;RS;4669999;25579;2;20;2;FOO456
2616;PI;4221903;314240;2;15;4;JJF753
2617;MA;3329599;389010;0;1;3;CABL951
2618;MA;3511502;129757;0;18;1;MEL789
2619;AC;7112000;284877;0;16;3;JJF753
2620;SP;3511502;94379;0;4;1;MEL789
2621;GO;4322303;913764;0;20;4;JJF753
2622;AM;3329599;19753;3;6;2;XPTO123
2623;RS;4742300;928958;0;15;2;CABL951
2624;PI;2821602;773249;3;19;4;CABL951
2625;AM;4669999;975686;1;18;4;FOO456
2626;PE;4221902;311132;0;16;3;XPTO123
2627;AC;3511501;690583;1;2;3;FOO456
2628;AL;4322302;436170;0;19;1;FOO456
2629;SP;2821602;24367;3;8;4;XPTO123
2630;AC;4669999;787710;4;7;1;MEL789
2631;PI;4322303;379758;0;9;2;XPTO123
2632;CE;3511502;196185;0;17;1;CABL951
2633;PI;4322301;374163;0;20;1;MEL789
2634;SC;4221902;874718;0;2;4;XPTO123
2635;SE;3511500;439756;2;3;2;FOO456
2636;PI;4754703;783731;0;12;4;CABL951
2637;RJ;4742300;705068;0;11;2;CABL951
2638;DF;3511501;483116;3;9;3;MEL789
2639;AP;4322302;371917;0;18;3;XPTO123
2640;PA;3511501;89511;0;9;2;CABL951
2641;PA;2821601;596079;0;9;2;FOO456
2642;PR;3329599;630596;4;14;2;FOO456
2643;MA;4669999;527541;4;2;2;JJF753
2644;PE;3321000;708674;3;18;2;FOO456
2645;PB;3321000;231798;3;19;4;FOO456
2646;CE;3329599;192014;0;1;4;JJF753
2647;TO;3511501;807350;0;10;2;FOO456
2648;MT;3313901;807921;0;6;3;MEL789
2649;PI;7112000;984812;1;18;4;MEL789
2650;RR;4322303;883386;0;16;1;CABL951
2651;AP;3329599;757262;1;3;4;XPTO123
2652;AM;4669999;365567;2;18;2;FOO456
2653;RS;4742300;246123;0;5;1;MEL789
2654;MG;3321000;10449;0;7;4;FOO456
2655;TO;4742300;811590;3;5;2;JJF753
2656;RS;4322303;748292;0;20;2;CABL951
2657;SE;3511501;408480;0;8;1;FOO456
2658;SC;4669999;587902;3;7;1;JJF753
2659;GO;4742300;601806;4;2;1;MEL789
2660;RN;4221903;725177;0;11;4;JJF753
2661;SP;4321500;940930;0;13;1;FOO456
2662;GO;4742300;275427;1;6;3;CABL951
2663;AM;4321500;989030;0;13;3;XPTO123
2664;PE;2821602;972838;4;6;4;JJF753
2665;TO;3511500;686780;0;20;3;MEL789
2666;MA;7112000;63052;4;13;2;JJF753
2667;PB;2821601;843248;4;1;1;JJF753
2668;PR;4322302;425151;0;15;1;FOO456
2669;RN;3511501;455965;0;21;2;FOO456
2670;CE;4669999;125232;2;6;2;XPTO123
2671;MG;2731700;245285;3;1;4;JJF753
2672;MA;7112000;193558;0;2;1;XPTO123
2673;PB;3511501;846843;0;11;2;XPTO123
2674;RS;4742300;980771;0;14;3;XPTO123
2675;RO;3329599;243150;0;19;3;JJF753
2676;SC;3329599;611889;0;11;3;FOO456
2677;SP;4322303;611696;3;1;3;XPTO123
2678;MT;7112000;107431;0;1;1;JJF753
2679;SP;4321500;71305;1;14;2;MEL789
2680;ES;4221902;438522;0;4;2;XPTO123
2681;MT;3511502;554610;0;5;3;FOO456
2682;GO;4221902;439131;1;15;2;CABL951
2683;PB;2821601;660439;0;14;3;FOO456
2684;AP;3511501;952172;0;10;4;FOO456
2685;PA;4754703;104677;0;13;1;XPTO123
2686;TO;4754703;374464;2;2;1;XPTO123
2687;GO;4322303;430857;3;21;2;MEL789
2688;SE;3329599;983701;4;7;1;JJF753
2689;BA;3329599;891497;0;6;1;MEL789
2690;MA;3511501;242744;2;15;2;CABL951
2691;SE;4321500;280433;0;12;4;FOO456
2692;MS;3511501;37207;0;17;3;JJF753
2693;PI;4669901;686482;1;3;1;MEL789
2694;AL;4322303;27008;0;9;1;FOO456
2695;TO;3321000;263420;4;20;4;JJF753
2696;SE;4669901;811061;0;11;2;CABL951
2697;MS;4322301;96787;0;10;1;MEL789
2698;RJ;4669901;130877;0;7;2;CABL951
2699;RO;3511501;689830;0;11;2;CABL951
2700;MA;4322303;156500;0;11;1;CABL951
2701;MA;4742300;664351;3;4;1;FOO456
2702;MT;4221902;656850;2;14;3;XPTO123
2703;PB;4221903;77505;0;20;1;JJF753
2704;SP;2821601;325661;0;10;1;MEL789
2705;SC;4742300;461626;0;9;2;MEL789
2706;PR;4221902;636732;0;15;1;FOO456
2707;AP;3511500;524496;0;3;4;FOO456
2708;AC;4669999;50328;2;5;1;FOO456
2709;BA;4742300;191436;4;20;4;XPTO123
2710;SE;4669901;359030;2;2;1;MEL789
2711;PI;3511501;747888;0;17;2;FOO456
2712;RR;4673700;726045;0;6;4;XPTO123
2713;AC;4669999;173566;0;13;1;JJF753
2714;RR;7112000;696463;0;19;4;FOO456
